Name
Альберт (Albert [ɐlʲˈbɛrt]), from Albert, of Germanic origin.
Данило (Danylo [dɐˈnɪlo]), equivalent to Daniel, of Hebrew origin.
Дем'ян (Demian [demˈjɑn]), equivalent to Damian, of Greek origin.
Денис (Denys [deˈnɪs]), equivalent to Dennis, of Greek origin.
Дмитро (Dmytro [dmɪˈtrɔ]), from Demetrius, of Greek origin.
Едуард (Eduard), equivalent to Edward, of Anglo-Saxon origin.
Євген (Yevhen [jeu̯ˈɦɛn])
Євгеній (Yevhenii [jeu̯ˈɦɛn⁽ʲ⁾ij]), equivalent to Eugene, of Greek origin.
Зіновій (Zinovii [z⁽ʲ⁾iˈnɔwij])
Зеновій (Zenovii [zeˈnɔwij]), from Zenobius, of Greek origin.
Іван (Ivan [iˈwɑn]), equivalent to Ian, John and Sean, of Hebrew origin.
Ігор (Ihor [ˈiɦor]), from Ingvar, of Varangian origin.
Ілля (Illia [iˈlʲːɑ]), equivalent to Elias and Elijah, of Hebrew origin.
Йосип (Yosyp [ˈjɔsɪp])
Йосиф (Yosyf [ˈjɔsɪf])
Осип (Osyp [ˈɔsɪp]), equivalent to Joseph, of Hebrew origin.
Казимир (Kazymyr [kɐzɪˈmɪr]), equivalent to Casimir, of Slavic origin.
Кирило (Kyrylo [kɪˈrɪlo]), equivalent to Cyril, of Greek origin.
Костянтин (Kostiantyn [kosʲtʲɐnˈtɪn]), equivalent to Constantine, of Latin origin.
Кузьма (Kuzma [kʊzʲˈmɑ]), from Cosmas, of Greek origin.
Лев (Lev [lɛu̯]), equivalent to Leo, of Greek origin.
Леонід (Leonid [leoˈn⁽ʲ⁾id]), from Leonidas, of Greek origin.
Леонтій (Leontii [leˈɔn⁽ʲ⁾t⁽ʲ⁾ij]), from Leontius, of Greek origin.
Любомир (Liubomyr [lʲʊboˈmɪr]), of Slavic origin.
Максим (Maksym [mɐkˈsɪm]), from Maximus, of Latin origin, meaning "greatest".
Маркіян (Markiian), equivalent to Marcian, of Latin origin.
Марко (Marko [mɐrˈkɔ]), equivalent to Marcus and Mark, of Latin origin.
Мар'ян (Marian [mɐrˈjɑn]), from Marianus, of Latin origin.
Матвій (Matvii [mɐt⁽ʲ⁾ˈwij]), equivalent to Mathias and Matthew, of Hebrew origin.
Микита (Mykyta [mɪˈkɪtɐ]), equivalent to Nikita, from Nicetas, of Greek origin.
Микола (Mykola [mɪˈkɔlɐ]), equivalent to Nicholas, of Greek origin.
Мирон (Myron [mɪˈrɔn]), of Greek origin.
Мирослав (Myroslav [mɪroˈslɑu̯]), of Slavic origin.
Михайло (Mykhailo [mɪˈxɑjlo]), equivalent to Michael and Mitchell, of Hebrew origin.
Назар (Nazar [nɐˈzɑr])
Назарій (Nazarii [nɐˈzɑr⁽ʲ⁾ij]), from Nazarius, a Christian name of ambiguous linguistic origins.
Олег (Oleh [oˈlɛɦ]), equivalent to Helge, of Varangian origin.
Олександр (Oleksandr [olekˈsɑnd(e)r]), equivalent to Alexander, of Greek origin.
Олексій (Oleksii [olekˈs⁽ʲ⁾ij])
Олекса (Oleksa [oˈlɛksɐ]), equivalent to Alexis, of Greek origin.
Омелян (Omelian [omeˈlʲɑn]), from Aemilianus, of Latin origin.
Орест (Orest [oˈrɛst]), from Orestes, of Greek origin.
Остап (Ostap [oˈstɑp])
Євстафій (Yevstafii [jeu̯ˈstɑfij]), equivalent to Eustace, of Greek origin.
Павло (Pavlo ([pɐu̯ˈlɔ]), equivalent to Paul, of Latin origin.
Петро (Petro [peˈtrɔ]), equivalent to Peter, of Greek origin.
Пилип (Pylyp [pɪˈlɪp]), equivalent to Philip, of Greek origin.
Роман (Roman [roˈmɑn]), of Latin origin.
Ростислав (Rostyslav [rostɪˈslɑu̯]), of Slavic origin.
Руслан (Ruslan [rʊˈslɑn]), equivalent to Arslan, of Tatar origin.
Сава (Sava [ˈsɑwɐ]), of Slavic origin.
Святослав (Sviatoslav [sʲw(j)ɐtoˈslɑu̯]), a pre-Christian name of Slavic origin.
Семен (Semen), equivalent to Simeon, of Hebrew origin.
Сергій (Serhii [serˈɦij]), equivalent to Serge, of Latin origin.
Станислав (Stanyslav [stɐnɪˈslɑu̯])
Станіслав (Stanislav [stɐn⁽ʲ⁾iˈslɑu̯]), of Slavic origin.
Степан (Stepan [steˈpɑn])
Стефан (Stefan [steˈfɑn]), equivalent to Stephen, of Greek origin.
Тарас (Taras [tɐˈrɑs]), of Greek or Dacian origin.
Тимофій (Tymofii [tɪmoˈfij]), equivalent to Timothy, of Greek origin.
Тимур (Tymur [tɪˈmur]), of Mongol or Turkic origin.
Трохим (Trokhym [troˈxɪm]).
Федір (Fedir [ˈfɛd⁽ʲ⁾ir])
Федор (Fedor [ˈfɛdor])
Теодор (Teodor [teoˈdɔr])
Хведір (Khvedir [ˈxwɛd⁽ʲ⁾ir]), equivalent to Theodore, of Greek origin.
Феодосій (Feodosii [feoˈdɔs⁽ʲ⁾ij]), from Theodosius, of Greek origin.
Франц (Frants [frɑnts]), from Franz, equivalent to Francis, of Latin origin.
Юрій (Yurii [ˈjur⁽ʲ⁾ij])
Георгій (Heorhii [ɦeˈɔrɦij])
Єгор (Yehor [jeˈɦɔr]), equivalent to George, of Greek origin.
Юхим (Yukhym [jʊˈxɪm]), from Euthymius, of Greek origin.
Яків (Yakiv [ˈjɑkiu̯]), equivalent to Jacob and James, of Hebrew origin.
Ярослав (Yaroslav [jɐroˈslɑu̯]), of Slavic origin.
